"tic","invest"
"MHGVY",1002.00400801603
"MHH",1002.00400801603
"MITT",1002.00400801603
"MIXT",1002.00400801603
"MKA.",1002.00400801603
"MKRYF",1002.00400801603
"MKTDF",1002.00400801603
"MLVF",1002.00400801603
"MMYT",1002.00400801603
"MN",1002.00400801603
"MNELF",1002.00400801603
"MNGA",1002.00400801603
"MNGGF",1002.00400801603
"MNTA",1002.00400801603
"MNTUF",1002.00400801603
"MOJO",1002.00400801603
"MOMT",1002.00400801603
"MPC",1002.00400801603
"MQXDF",1002.00400801603
"MRC",1002.00400801603
"MRIC",1002.00400801603
"MRQRF",1002.00400801603
"MSGN",1002.00400801603
"MSLP",1002.00400801603
"MTCPY",1002.00400801603
"MTDR",1002.00400801603
"MTGE",1002.00400801603
"MTL",1002.00400801603
"MTLFF",1002.00400801603
"MTP",1002.00400801603
"MTSI",1002.00400801603
"MTU",1002.00400801603
"MX",1002.00400801603
"MXL",1002.00400801603
"MXMTY",1002.00400801603
"MXX.",1002.00400801603
"MYAGF",1002.00400801603
"MYOS",1002.00400801603
"MYRG",1002.00400801603
"MYTAY",1002.00400801603
"MZOR",1002.00400801603
"NADLQ",1002.00400801603
"NAF.UN",1002.00400801603
"NAO",1002.00400801603
"NAUH",1002.00400801603
"NBHC",1002.00400801603
"NCAP",1002.00400801603
"NCD.UN",1002.00400801603
"NCFFF",1002.00400801603
"NCPCF",1002.00400801603
"NEXJF",1002.00400801603
"NGG",1002.00400801603
"NGL",1002.00400801603
"NGPHF",1002.00400801603
"NHVCF",1002.00400801603
"NITMF",1002.00400801603
"NJDCY",1002.00400801603
"NLNK",1002.00400801603
"NMFC",1002.00400801603
"NMKEF",1002.00400801603
"NMREF",1002.00400801603
"NNA",1002.00400801603
"NNDM",1002.00400801603
"NOAH",1002.00400801603
"NOMD",1002.00400801603
"NORD",1002.00400801603
"NPSNY",1002.00400801603
"NPTN",1002.00400801603
"NQ",1002.00400801603
"NQEXF",1002.00400801603
"NRBT",1002.00400801603
"NSM",1002.00400801603
"NSPR",1002.00400801603
"NSPX",1002.00400801603
"NTCPF",1002.00400801603
"NTCXF",1002.00400801603
"NTEC",1002.00400801603
"NTGSF",1002.00400801603
"NULGF",1002.00400801603
"NUSMF",1002.00400801603
"NUVA",1002.00400801603
"NVFY",1002.00400801603
"NVIV",1002.00400801603
"NWHUF",1002.00400801603
"NWPP",1002.00400801603
"NX",1002.00400801603
"NXOPF",1002.00400801603
"NXPI",1002.00400801603
"NXXYF",1002.00400801603
"NZERF",1002.00400801603
"OAK",1002.00400801603
"OAS",1002.00400801603
"OASM",1002.00400801603
"OBGRF",1002.00400801603
"OCANF",1002.00400801603
"OCNSF",1002.00400801603
"OCSL",1002.00400801603
"OFED",1002.00400801603
"OGXI",1002.00400801603
"OGZPY",1002.00400801603
"OHGI",1002.00400801603
"OIBRQ",1002.00400801603
"OMER",1002.00400801603
"OMNT",1002.00400801603
"ONCS",1002.00400801603
"ONRTF",1002.00400801603
"OPLI.1",1002.00400801603
"OPTT",1002.00400801603
"OPXS",1002.00400801603
"ORAN",1002.00400801603
"ORC",1002.00400801603
